code|name|misc|description
SFS11QFS|Forensic Science|Fall term only. Offered Fall & Spring. Juniors and Seniors.|This course will cover all aspects of forensic science with an emphasis on inquiry-based learning. It builds on the principles and applications of biology, chemistry and physics in a laboratory setting. Students will incorporate their prior knowledge into real-world applications and experiments. Laboratory exercises include latent fingerprinting, ballistics measurements, hair and fiber analysis, blood typing, blood spatter examination, thin-layer chromatography of toxins, a fetal pig dissection and DNA fingerprinting. Further, they will learn how to process a crime scene, conduct various assays on evidence, analyze data, psychologically profile serial murderers and use deductive reasoning and in order to reconstruct a crime. Students will learn about the legal process as well. In addition to a laboratory report and practical, students will be assessed on class participation, group projects, papers and tests.
SBS11QNS|Fundamentals of Nutritional Science|Fall and Spring single-term course. Juniors & Seniors.|The aim of the course is to provide a basic knowledge of nutrition to help students understand the following: The importance of nutrition at all stages of the life cycle in health and disease. How nutrition information, given on the news, food labels, popular magazines, etc., applies to them. Students will be able to distinguish between misinformation and scientific nutrition, answer questions pertaining to ethnic diets, eating disorders, nutrient supplements, vegetarian food safety, food fads, etc. Students will be able to assess the adequacy of meals by determining the quality and quantity of nutrients meals provide and to compare this with recommended dietary allowances and food pyramids. Topics will include Metabolism, Energy Balance, Weight Control, Nutrition during the life cycle (newborns, teenagers, adults), Nutritional Needs of Athletes, Nutritional Diseases, Food Safety, Herbal Remedies and more.
SBS11QGR|Genetics Research|Fall term only. Sophomores only. Prerequisite for AP Biology.|Become proficient in the practice and interpretation of classical genetic analysis
SBS11QHD|Human Diseases|Fall and Spring Term. Sophomores only. Prerequisite or corequisite for AP Biology and Medical Internship|This course in human diseases and microbiology will focus on parasite-host relationships, the role of vectors in epidemics, population adaptations to pathogens, history of human disease control and eradication through immunology and environmental implications to disease. Laboratory work in bacteriological techniques is included.
SBS11QME|Medical Ethics|Spring term only. Juniors & Seniors only. Prerequisite for Medical Internship.|Students will study current event topics of concern to medical science of an ethical nature. Topics might include euthanasia, Nobel Laureate sperm banking, terminal patient care, patenting genetically engineered organisms, transplanting from brain dead people, etc. Material may be helpful at medical school interviews. The Fall Medical Ethics class usually organizes a City-Wide Medical Ethics Conference.
SBS11QHG|Medical Human Genetics|Spring Term only. Sophomores only. Prerequisite for Medical Internship. Prerequisite for AP Biology.|Become proficient in the interpretation of genetic disease patterns in human families.
SBS11QHI|Medical Internship|Spring term only. Seniors only. Prerequisites are one of the following: Medical Ethics, Human Diseases, Medical Human Genetics, Medical Diagnosis, Medical Human Physiology I, Medical Human Physiology II, or Veterinary Medical Diagnosis.|This course is designed for students interested in a medical career. The major focus is a placement in a medical setting where each student works side by side with a medical professional in a hands-on fashion. Selected students will be assigned to various departments at local hospitals to work with doctors, patients and in labs. Students will rotate through several departments such as surgery, hematology, physical therapy, urology, ophthalmology, pediatrics, rehabilitation medicine and nursing administration. Classwork will deal with the most modern problems in urology, immunology, social service, nutrition, patient care, hematology, cardio-pulmonary mechanics, and other relevant matters. At the hospitals, students will participate in discussions on medical ethics, occupational therapy, outpatient treatment, instrumentation, and supervision.
SBS11QMG|Molecular Genetics|Spring term only. Sophomores only. Prerequisite for AP Biology. By invitation only.|This is a one-year sequence for sophomores. Students study the latest laboratory protocols needed for research in college or hospital research labs. Included are PCR, protein chemistry, electrogelphoresis, and a variety of mini-preps and blotting techniques.
SBS11QMS|Molecular Science|Fall term only. Sophomores only. By application only.|This is a one-year sequence for sophomores. Students study the latest laboratory protocols needed for research in college or hospital research labs. Included are PCR, protein chemistry, electrogelphoresis, and a variety of mini-preps and blotting techniques.
SBS11QNB|Topics in Neurobiology|Fall and Spring single-term course. Sophomores only. Pre-requisite for AP Biology.|This course will introduce students to the structure and function of the nervous system. Topics will include cellular neurophysiology (ion channels, action potential generation, and synaptic transmission), sensory systems, learning and memory, and the neurobiology of disease.
SES11QGE|Geology|Spring term only. Juniors, & Seniors. Corequisite or prerequisite for AP Environmental Science.|See the planet Earth with new eyes! Geology provides those interested in the environmental sciences with the opportunity to examine the physical environment through landform simulations, mineral thin-sections, chemical testing, aerial photographs and an extensive library of maps, slides, and videos. Our Internet access brings nearly real time data on earthquakes, natural disasters, and other phenomena. Grades are based on oral and written classwork, staying current in the geo-science news, laboratory work, and a term project of the students' choosing where a specific topic in geology is explored in depth using our college-level research facility. Students may use this course for Intel Research. This course is open to sophomores, juniors and seniors.
SWS11QMT|Meteorology|Single-term only. Juniors & Seniors only. Corequisite or prerequisite for AP Environmental Science.|As living organisms, we inhabit a thin region between the earth's rocky crust and the vastness of space. These few kilometers of atmosphere provide students an opportunity to examine the energy, forces and elements that create the changing patterns we call weather. This course uses analog and digital instruments, satellite images from Stuyvesant's own satellite downlink and nearly real-time data analysis on the Internet to explain and identify these changing patterns. Students are expected to master fundamental principles of meteorology, draw and interpret weather maps and reasonably predict future weather from available maps and data. Also required is an in-depth examination of one meteorology topic of the student's choosing, and some project paper or presentation that displays independent effort and academic achievement. This course is open to juniors and seniors.
SWS11QOC|Oceanography|Fall term only. Juniors & Seniors only. Corequisite or prerequisite for AP Environmental Science.|This course will survey topics such as zones of life, geological mapping, ocean chemistry and ocean-atmosphere interaction. Students will establish and maintain an oyster site adjacent to the school in the harbor, work on a bird sanctuary, study with a marine biologist and a college oceanographer. Students will establish two natural habitats for marine spawning and maintain a crustacean and gastropod intertidal area in the Hudson River. Weekend projects to environmental sites are part of the project requirements along with the maintenance of salt-water aquaria in our geo-science laboratory. Students are graded on their oral and written reports from their readings in periodicals or current research in oceanography. Exams include problem solving, using facts and skills from previous lessons. Participation and involvement in classroom discussions are required. Open to juniors and seniors only.
SES11QUE|Urban Ecology|Fall and Spring single-term course. Juniors and Seniors. Prerequisite for AP Environmental Science.|Humans are the epitome of an organism that modifies its environment for its own use. The outcomes of our modifications include the creation of cities which cover a small proportion of the continents yet, as of 2011 over half of the world's population l
SBS43X & SBS44X|AP Biology|Full-year, double-period course. Juniors & Seniors. By application. Minimum biology and science average of 93% required.|This college-level, year-long course of study is an in-depth study for all major areas of Biology with an emphasis on molecular mechanics, geared to the preparation of the student for the Advanced Placement exam. The course is taught through lecture, active classroom discussion and laboratory projects. Students are tested on each unit and are graded on outlines they prepare of major topic areas. The student must read and master the material in a college level text and review book which is required as outside reading. There is a small cost for perishables. Students perform dissections and other laboratory exercises. Junior or Senior full year course. Students must commit themselves to completing the entire year. Students are eligible to take the AP Exam at the end of this course. Ten periods per week.
SWS21X & SWS22X|AP Environmental Science|Full-year course. Juniors & Seniors. By application. Minimum biology and science average of 88% required.|The goal of the AP Environmental Science course is to provide students with the scientific principles, concepts, and methodologies required to understand the interrelationships of the natural world, to identify and analyze environmental problems both natural and human-made, to evaluate the relative risks associated with these problems, and to examine alternative solutions for resolving and/or preventing them. Environmental science is interdisciplinary. It embraces a wide variety of topics from different areas of study. Yet there are several major unifying constructs or themes that cut across the many topics included in the study of environmental science.
SQS21X & SQS22X|AP Psychology|Full-year course. Juniors & Seniors. By application. Minimum biology and science average of 94% required.|AP Psychology is a two-term, college-level introduction to psychology course. It is open to all qualified juniors and seniors. Students are selected by their cumulative average for two years and their ability to write clear English. The emphasis in the class will be on acquiring basic social science concepts and applying them to research.
SQS86QJ5 & SQS87QA|Intel Research: Biology/Psychology|Sophomores & Juniors Spring term only; Seniors Fall term only. By application.|Students conduct independent research after school in local hospitals and university laboratories under teacher supervision. It is hoped that students will become acquainted with the processes of conducting a science investigation from hypothesis formation, posing a question, designing an experiment, doing library research to carrying out the experiment, collecting data and forming conclusions. Students will work after school with professors 2 or 3 days each week. Summer research is usually required. Class seminars are held once each week. This course can only be elected for a maximum of two terms, beginning in the spring term of junior year and concluding in the fall term of senior year. Students must submit a formal report of their research. If you have any unanswered questions, please check with the department.
SQS87QA|Intel Senior Research|Fall term only. Seniors only. Upon acceptance of your Intel Research paper, fulfills 10Tech requirement. By application.|This class is designed for those students who wish to pursue independent biology and/or psychology research, usually in one of this city's research institutions, including, but not limited to, Cornell University Medical College, Columbia, NYU or Rockefeller University.
SCS21 & SCS22|Regents Chemistry|Full-year course.|No description provided.
SCS21HJ & SCS22HJ|Honors Chemistry|Full-year course. By application.|No description provided.
SCS43X & SCS44X|AP Chemistry|Full-year, double-period course. By application.|No description provided.
SCS11QAT|Advanced Topics in Chemistry|Single-term course. Spring term only.|No description provided.
SCS11QCA|Advanced Chemistry Lab|Single-term course.|No description provided.
SCS21QGC|Organic Chemistry I|Single-term course.|No description provided.
SCS22QGC|Organic Chemistry II|Organic Chemistry I a prequisite. Spring term.|No description provided.
SCS11CPC|Physical Chemistry|Single term course. Juniors and Seniors only.|No description provided.
SCS11QAC|Analytical Chemistry|Single term course.|No description provided.
SQS86QJ5 & SQS87QJA|Intel Research Chemistry|By application. Full-year course. Juniors Spring Term only; Seniors Fall Term only. Upon acceptance of your Intel Research paper, fulfills 10Tech requirement.|No description provided.
SPS21 & SPS22|Regents Physics|Full-year course.|No description provided.
SPS21HJ & SPS22HJ|Honors Physics|Full-year course.|No description provided.
SPS21X & SPS22X|AP Physics Level B|Full-year, single-period course. By application.|No description provided.
SPS43X & SPS44X|AP Physics Level C|Full-year, double-period course. By application.|No description provided.
SPS11QAP|Astronomy|Single-term course, Fall term only. Juniors and Seniors, or Sophomores who have taken Physics 1 & 2.|No description provided.
SKS11QDE|Digital Electronics|Single-term course in the Spring.|No description provided.
SKS11QAE|Analogue Electronics|Single-term course. Not offered at this time.|No description provided.
SPS11QAS|Applied Science|Single-term course. Juniors and Seniors.|No description provided.
SPS11QAE|Applied Engineering|Single-term course. Juniors and Seniors.|No description provided.
SPS11QEP|Experimental Physics|Single-term course. Juniors and Seniors.|No description provided.
SPS11QMU|Physics of Music|Single-term course. Not offered at this time.|No description provided.
SPS11QPP|Plasma Physics|Single-term course. Spring term only.|No description provided.
SPS21QMP & SPS22QMP|Modern Physics & Nanotechnology|Full-year course.|No description provided.
SPS87QMS & SPS88QDY|Principles of Engineering I think|Single-term courses.|No description provided.
SQS86QJ5 & SQS87QJA|Intel Research Physics|By application. Full-year course. Juniors Spring Term only; Seniors Fall Term only. Upon acceptance of your Intel Research paper, fulfills 10Tech requirement.|No description provided.
EES81QFC & EES82QFC|Freshman Composition|Full-year course.|Freshman Composition is designed  to help students develop key writing skills and understand theessentialelements of the writing and revision process. Over the course of the  year, students will become more  adept at writing in a variety of forms, including literary analysis,  persuasive argument, narrative and descriptive writing, and research.  The emphasis will be on producing writing that is clear, concise and  thoughtful.
EES83QEL & EES84QEL|European Literature|Full-year course.|Beginning in the 2015-2016 school year, all sophomores will be enrolled in European Literature. This yearlong English class highlights important works of literature spanning the classical era to modern day.
EES85QAM & EES86QAM|American Literature|Core.|American Literature is a semester-long core English course for juniors not enrolled in an AP English Language & Composition course. Students will encounter a variety of texts and authors considered central to the notions of the history, national identity, art and culture of the United States. It is offered in the Fall and Spring semesters, and students especially interested in this area of study are allowed to enroll during both terms of their junior year. Students taking both will encounter a completely different reading list in each semester.
EES85X1 & EES86X2|American Literary History|Full-year course. By application.|Advanced Placement in English Language and Composition: American Literary History
EES85X7 & EES86X8|Contemporaries & Classics in American Literature|Full-year course. By application.|AP English Language & Composition: Contemporaries & Classics in American Literature
EES85X3 & EES86X4|Defining American Voices|Full-year course. By application.|“TheAmericanDream is always going to involve a necessary betrayal…to find out who you want to be as a person…That’s what I think theAmericanDream is: proving the dominant culture wrong.”
EES85XA & EES86XB|American Places and Perspectives|Full-year course. By application.|American Places and Perspectives is a two-semester AP English Language and Composition course that examines American literature through the framework of place, and as an extension of time and space. Using geography as its central lens, the class will focus on the places occupied by American texts, American writers, and American readers. Beyond physical geography, human geography, with its focus on culture and inter-personal relationships, will be central to our study of seminal literary works.
EES85QAC or EES86QAC|Acting Workshop|Single term.|The class is open to Juniors and Seniors with an overall English average of
EES85QHA or EES86QHA|Asian American Literature|Single term.|Rather than considering “Asian American identity” as a fixed, established “given,” perhaps we can consider instead “Asian American cultural practices” that produce identity.
EES85QCN or EES86QCN|Creative Nonfiction Workshop|Single term.|This class will be a workshop for student  writers who wish to move beyond traditional models of academic writing.   Instead, we will take as our inspiration the vast expanse of published  nonfiction that seeks to experiment with the essay form.  Our starting  point will be Montaigne's conception of
EES85QPW or EES86QPW|Poetry Workshop|Single term.|This course incorporates the study of poetry with the writing of poetry. We’ll begin with some contemporary writers, explore rhythm, rhyme, and the complex forms, take two weeks to experiment with risks and new approaches, jump back in time to study several of America’s most celebrated voices, and close with a unit on spoken word. Along the way we’ll study poets ranging from Walt Whitman to Aimee Nezhukumatathil, Emily Dickinson to Jason Koo. Perhaps most importantly, we’ll be focusing on your writing and the writing of your classmates past and present. As my former student Disi Chen once wrote, “This is not only a class where you write to express but also listen to learn. You’ll be surprised when you hear the poetry of others and realize that everyone has so much to say in so many different styles, you included."
EES85QWW or EES86QWW|Writers Workshop|Single term.|This course is designed to make students aware of the wide-variety of  techniques used by fiction writers and to guide students in practicing  those techniques in their own fiction. Students will build an awareness  of fiction writing conventions while developing their own unique style.
EES87QEB|Early British Literature|Core. Fall Term only.|This course explores the beginnings of English literature. In a journey that starts in the Dark Ages where heroic warriors battle against monsters and other unknowns, we will meet Beowulf and read the oldest known piece of English literature. Moving forward, we will look at how morality and cultural ideals change as the language evolves from Olde English to Middle English to Shakespeare's Early Modern English.
EES88QBL|Later British and World Literature|Core. Spring Term only.|No description provided.
EES87X3 & EES88X4|Great Books|Full-year course. By application.|Overview: This yearlong class is designed for dynamic seniors who are  eager to challenge themselves as readers, to experiment with a variety  of writing assignments and to contribute to our daily discussions about  the literature. It is considered an Advanced Placement course, and  students are encouraged to take the Advanced Placement Literature and  Composition exam in the spring. Applicants for the class must have at  least a 92% English average.
EES87X7 & EES88X8|Psychology & Literature|Full-year course. By application.|In this course, students read literary texts from various epochs through the lens of cognitive and behavioral theories. The course focuses on such foundational work in the field of psychology as Sigmund Freud’s theories of the unconscious based on his writings on dream analysis, Carl Jung’s concept on the collective unconscious, and Jacques Lacan’s insistence on the centrality of language in the construction of a sense of self. As a result of this exposure to intellectually stimulating psychological ideas, students will begin to see how various theories of human behavior can be used to read literature. In addition, students will gain a deeper appreciation for the ways some of the more influential psychologists have made use of literary conventions and techniques in developing and presenting their groundbreaking psychological theories. Throughout the course, students explore and learn to appreciate the many intersections between literature and psychology with the aim of furthering their understanding of the complex interplays between cultural, social and biological factors that contribute to shaping human personalities, behaviors and plot lines as represented in Western literature. Students will offer psychological readings of such major novels as Nabokov’s
EES87X5 & EES88X6|Society & Self|Full-year course. By application.|: Society and Self is a year-long course focusing on the ways that individuals define  themselves in the context of wider social forces - religious, economic, political, material and  technological. Rather than taking a strict chronological approach to the literature, we'll follow  the development of ideas about the self (and even the origins of the concept of a literary "self")  by juxtaposing texts from different eras and focusing on the ways that these texts inform and  reflect our own ideas of ourselves and our places in the world. We'll read works by South Asian,  American, and South African writers, as well canonical examples of British literature. Society and Self is  considered an Advanced Placement course, and students are encouraged to take the Advanced  Placement Literature and Composition exam in the spring.
EES87QAC or EES88QAC|Acting Workshop|Single term.|The class is open to Juniors and Seniors with an overall English average of
EES87QCN or EES88QCN|Creative Nonfiction Workshop|Single term.|This class will be a workshop for student  writers who wish to move beyond traditional models of academic writing.   Instead, we will take as our inspiration the vast expanse of published  nonfiction that seeks to experiment with the essay form.  Our starting  point will be Montaigne's conception of
EES87QEE or EES88QEE|Existentialism|Single term.|Existentialism is a 20th century philosophy that stresses fervent individualism in the face of an irrational universe. This mode of thought is a protest of sorts against traditional academic philosophy and uplifts the "rebel," that individual who is strong enough to simply be him/herself. These writers express themselves with a passionate sense of urgency. Their main concerns are as follows:
EES87QPW or EES88QPW|Poetry Workshop|Single term.|This courseincorporates the study of poetry with the writing of poetry. We’ll begin with some contemporary writers, explore rhythm, rhyme, and the complex forms, take two weeks to experiment with risks and new approaches, jump back in time to study several of America’s most celebrated voices, and close with a unit on spoken word. Along the way we’ll study poets ranging from Walt Whitman to Aimee Nezhukumatathil, Emily Dickinson to Jason Koo. Perhaps most importantly, we’ll be focusing on your writing and the writing of your classmates past and present. As my former student Disi Chen once wrote, “This is not only a class where you write to express but also listen to learn. You’ll be surprised when you hear the poetry of others and realize that everyone has so much to say in so many different styles, you included."
EES87QSF or EES88QSF|Science Fiction & Fantasy|Single term.|In this course, you will be exposed primarily  to works which deal with the scientific and technological ingenuity of  man (the science fiction genre) and to works which deal with magic and  the supernatural (the fantasy genre).  It is worthwhile noting that  these two genres often overlap.  Since the bulk of the course will be  devoted to science fiction, the emphasis will be to examine the promise,  the limits, and the ethics of science.
EES87QSL or EES88QSL|Shakespearean Literature|One-term course.|We will explore the many  aspects of human nature and behavior in Shakespeare's tragedies,  comedies and histories. Students should have an appreciation for the  beauty of Shakespeare's language and be eager to read, study, write, and  perform his poetry, prose, soliloquies, sonnets, and scenes.
EES87QWV or EES88QWV|Women's Voices|Single term.|This course is open to seniors who wish to examine issues of power, education, sexuality, body image, relationships, representation, and gender roles - to name a few topics - from a pro-female perspective.  Through our reading of novels, short stories, poems, and articles, we will investigate our own assumptions and prejudices, and examine the ways in which these issues have been treated by a number of women authors during the 20th century.  We will focus both on the subjects these women bring up and the ways in which they write, expressing their voices in forms often different from those used by their male counterparts.
EES87QWW or EES88QWW|Writers Workshop|Single term.|This course is designed to make students aware of the wide-variety of  techniques used by fiction writers and to guide students in practicing  those techniques in their own fiction. Students will build an awareness  of fiction writing conventions while developing their own unique style.
MGS43QE|Enriched Euclidean Geometry|Students qualify based on the placement exam in June before their Freshman year.|No description provided
MGS44H, MRS21H, MRS22H, MPS21H, MPS22H|Honors Math Sequence|The Honors Sequence starts in the Spring of Freshman year and runs through Junior Year.|Geometry. An accelerated MGS44 class that is replete with enrichment topics in geometry and begins Intermediate Algebra. Students will take the Geometry Regents in June.
MES43 & MES44|Algebra 1|Full-year course.|This course is designed forfreshmen who have not yet taken a Regents course in Algebra 1. It is also suitable for students who have already taken algebra, but who would like to reinforce their basic algebra skills.
MGS43 & MGS44|Geometry|Full-year course.|The main topics are Logic, Introduction to Geometry, Congruent Triangles, Inequalities, Parallel Lines and Angle Sums, Quadrilaterals, Similarity, Right Triangle Trigonometry, Area, Coordinate Geometry, Circle Geometry, Locus, the Graphing Calculator, Constructions, Transformations, and Solid Geometry.
MRS21 & MRS22|Algebra 2 & Trigonometry|Full-year course.|This is a prepared course. Students are expected to review class notes before each class, complete homework assignments, and participate in class discussions.
MQS21 & MQS22|Advanced Algebra|Full-year course.|This course may be used as a prerequisite for Calculus. It should be taken by students who have experienced difficulty in previous math courses. The curriculum will cover the topics in precalculus mathematics and is also designed to strengthen the algebraic skills necessary for success in Calculus.
MPS21 & MPS22|Pre-calculus|Full-year course.|Any student who has been getting grades of 85 or higher in math should take this course. It is an important prerequisite for Calculus and other college level math classes.
MCS21 & MCS22|Calculus Applications|Full-year course.|This course is for students who want a slower-paced course than AP Calculus and students who wish to get a "head start" on calculus before college.
MCS21X & MCS22X|AP Calculus AB|Full-year course. By application.|Students with a good background and interest in mathematics. AB Calculus is for students who are interested in scientific, business, and computer science careers. See below for specific requirements
MCS43X & MCS44X|AP Calculus BC|Full-year course. By application.|Students with a strong background and interest in mathematics and a math average of at least the mid 90's. Since BC calculus provides a more theoretical development of the calculus than AB Calculus and includes the additional topic of series, BC Calculus is designed for students who wish to continue their education in mathematics, whether as math or science majors.
MQS11QME|Mathematical Explorations|Single term.|Excursions in Mathematics is a course that examines fascinating topics from the world of mathematics. The curriculum includes mathematical topics from ancient to modern times including early astronomy, calendars of the ancient world, the infinitude of primes,the formulas of Heron and Brahmagupta, game theory, Islamic mathematics, The Fibonacci sequence,mathematics and music, the golden ratio, Euler and the number e, Galileo and experimentation, Pascal's triangle, the mystery of Fermat, perfect numbers, Galois, knot theory, Ramanajun's formulas, the mathematics of the honeybee, statistics and the electoral vote, chaos and fractals, and much more.
MCS65C|Multivariate Calculus|Fall term only.|Students who have completed AP Calculus and are interested in scientific, business, or engineering careers.
MCS66C|Differential Equations|Spring term only.|Students who have completed AP Calculus and have passed or are currently taking Multivariate Calculus, and are interested in scientific or engineering careers.
MSS21X & MSS22X|AP Statistics|Full-year course. By application.|Students who plan to continue in any of the following disciplines (in addition to statistics, mathematics, and computer science): biology, chemistry, physics, economics, political science, psychology, sociology, engineering, nursing, et al. In general, any student planning on doing research in any field should take this course.
MQS11QFM|Mathematics of Financial Markets|Single term.|Students who are interested in mathematical modeling applied to financial markets and corporate finance should take this course.
MQS11QAL|Linear Algebra|Single term.|Linear algebra explores the unifying structure behind a wide variety of "linear problems" in mathematics, from simultaneous equations to differential equations, from resource allocation ("programming") to dynamical systems, from group theory to graph theory, and beyond. It accomplishes this seemingly miraculous unification by relating all of the aforementioned problems, and many others, to the intriguing geometry of n-dimensional space, which is studied by means of matrix algebra.
MQS11QQS|Statistics|Single term.|This is a course intended for students who have completed Trigonometry and/or Pre-calculus and have an interest in seeing mathematics applied to numerous areas in the real world. Anyone who is interested in pursuing a career in the natural or social sciences, engineering, medicine, public health, business or public administration will find this course useful and enjoyable. Students planning to do Intel research papers will find the course particularly helpful, as will students who want a taste of Statistics but are not yet ready to commit to a full year of the more demanding Advanced Placement Statistics course.
MQS81QJ & MQS82QJ|Math Research|Does not fulfill the Math requirement.|Current freshmen, sophomores and juniors who wish to pursue an exciting mathematical adventure beyond the scope of the syllabus.
MQS86QJI & MQS87QJI|Senior Research Intel Talent Search|By application. Full-year course. Juniors Spring Term only; Seniors Fall Term only. Upon acceptance of your Intel Research paper, fulfills 10Tech requirement.|Students interested in submitting papers to the Intel Science Talent Search. This course is limited to juniors in the spring term (MM6R5) andseniors in the fall term (MM7R5).
MQS11QAM|Actuarial Mathematics|BC Calculus and Multivariable Calculus Students only|: Calculus-Based Probability with Statistical and Actuarial Applications
MQS11QHR|Human Reasoning|fulfills 4 year math requirement|This is a course aimed at reasoning in the real world, developing correct usage and identifying fallacies. Topics covered in the curriculum are listed below.
MKS21|Introduction to Computer Science|Required course beginning with the Class of 2007.|This course will serve as an introduction to computer science. Students will study some the basic themes and subfields of computer science including algorithms and programming, simulation, networking, computability, graphics, and artificial intelligence. Students will also be given a solid foundation in working in a modern networked computer environment.
MKS21X & MKS22X|AP Computer Science|By application.|This course starts with basic programming and concludes with the data structures and algorithms required for advanced computer programming. This course will prepare students for the AB level Advanced Placement Exam.
MKS65C|System Level Programming|MKS22X or by permission of the Coordinator of the Computer Science Program|This single semester college level course discusses machines at a low level using Assembly Language and C as the course tools. Topics include memory organization, interrupts, and computer representation of numbers and arithmetic.
MKS66C|Computer Graphics|MKS22X or by permission of the Coordinator of the Computer Science Program.|Students interested in computer science who have completed MKS22X and MKS65C.
MKS21QJI|Software Development|MKS22Xor by permission of the Coordinator of the Computer Science Program.|Students will learn how to develop complete solutions to problems using current computer technology. Working in groups, students will analyze a problem, design a solution, and form a working system to address the problem. Students will learn and use modern technologies. Probable tools and technologies include HTML/CSS, Javascript, Python, databases, and mobile technologies. Students will also learn how to use modern developmental tools including modern IDE's and revision control systems.
UAS11|Music Appreciation|Required course.|Music Appreciation is a one-semester course required of all students, usually completed in the freshman year. Students taking three semesters of performing music courses are exempt.
UVS11|Concert Chorus|By audition only.|Students who enjoy singing and music of many differing styles, periods and languages should audition.
